t,Final_PVFP
167,-1.754732269524417e-13
168,-1.2686423547494617e-13
169,-1.8452390264668254e-13
170,-9.334057934351362e-14
171,-6.907213968989144e-14
172,-1.3346539813482758e-13
173,-1.2011326380986864e-13
174,-1.1022793512943063e-13
175,-1.5013875655403368e-14
176,-6.84011805654456e-14
177,-8.445143281154935e-15
178,6.610750766750134e-14
179,9.495455479273534e-14
180,6.714378582694976e-14
181,1.2441920982746798e-13
182,1.1811429941215976e-13
183,2.0058666498341107e-13
184,1.77008249873976e-13
185,2.740703956109977e-13
186,2.2254306760661189e-13
187,1.7423692490115834e-13
188,1.753579705222468e-13
189,8.05629596570025e-14
190,2.423788530437863e-14
191,4.926282833983332e-14
192,7.800149629107974e-14
193,2.1659941406033862e-14
194,6.79845799456277e-14
195,1.0039641788921831e-13
196,5.130437996164702e-14
197,8.005618331749932e-14
198,1.0188754928425907e-13
199,2.0830682231776928e-14
200,4.93864168988721e-14
201,2.128246116182062e-14
202,7.471009833975826e-14
203,-7.402318914762345e-14
204,-7.094674289663724e-14
205,1.3861911914571154e-14
206,2.8161954588413724e-14
207,-3.915841044501739e-14
208,-1.4541361085277e-14
209,-4.6609343749544615e-14
210,-8.95417938162427e-14
211,-1.1498690416536362e-13
212,-1.0151587865381764e-13
213,-3.1114761297709745e-14
214,-1.023692281847748e-13
215,-1.1013330223885445e-13
216,-8.597290746996984e-14
217,-1.1494776917568018e-13
218,-1.1568734658363423e-13
219,-9.511540038209674e-14
220,-1.0993823044728219e-13
221,-1.14198290011021e-13
222,-1.5401289571426832e-13
223,-1.6921467403782475e-13
224,-1.6675069266683803e-13
225,-1.926925673959239e-13
226,-1.8682692981892212e-13
227,-1.7026541151673407e-13
228,-1.6780819062232437e-13
229,-1.1204445471268558e-13
230,-5.59219332471579e-14
231,-6.338716400708072e-14
232,-2.4715148462084483e-14
233,2.1311111352943773e-14
234,1.789551400626575e-14
235,-3.305627790586953e-15
236,-1.3985037335725557e-14
237,-1.0522303808232637e-14
238,-1.059000462776141e-14
239,0.0
240,0.0
241,0.0
